2026-07-05T18:12:17.528Z [LOG] Request: GET /health | Query: {} | Body: undefined | Status: 200 | Duration: 30ms []
2026-07-06T08:38:08.583Z [LOG] Request: POST /auth/signup | Query: {} | Body: {"login":"admin-1783327088463@test.com","password":"secret123"} | Status: 201 | Duration: 93ms []
2026-07-06T08:38:08.646Z [LOG] Request: POST /auth/signup | Query: {} | Body: {"login":"viewer-1783327088463@test.com","password":"secret123"} | Status: 201 | Duration: 61ms []
2026-07-06T08:38:08.710Z [LOG] Request: POST /auth/login | Query: {} | Body: {"login":"admin-1783327088463@test.com","password":"secret123"} | Status: 200 | Duration: 63ms []
2026-07-06T08:38:08.770Z [LOG] Request: POST /auth/login | Query: {} | Body: {"login":"viewer-1783327088463@test.com","password":"secret123"} | Status: 200 | Duration: 57ms []
2026-07-06T08:38:08.779Z [LOG] Request: POST /rooms | Query: {} | Body: {"name":"Smoke room 1783327088463"} | Status: 201 | Duration: 6ms []
2026-07-06T17:56:24.225Z [LOG] Request: GET /rooms | Query: {} | Body: undefined | Status: 200 | Duration: 115ms []
2026-07-06T17:56:50.017Z [LOG] Request: POST /auth/login | Query: {} | Body: {"login":"test@gmail.com","password":"1234qwer"} | Status: 403 | Duration: 11ms []
2026-07-06T17:57:07.872Z [LOG] Request: POST /auth/signup | Query: {} | Body: {"login":"test@gmail.com","password":"1234qwer"} | Status: 201 | Duration: 105ms []
2026-07-06T17:57:07.934Z [LOG] Request: POST /auth/login | Query: {} | Body: {"login":"test@gmail.com","password":"1234qwer"} | Status: 200 | Duration: 61ms []
2026-07-06T17:57:07.942Z [LOG] Request: GET /rooms | Query: {} | Body: undefined | Status: 304 | Duration: 4ms []
2026-07-06T17:57:15.770Z [LOG] Request: GET /rooms | Query: {} | Body: undefined | Status: 304 | Duration: 5ms []
2026-07-06T17:58:17.726Z [LOG] Request: POST /rooms | Query: {} | Body: {"name":"speech"} | Status: 201 | Duration: 78ms []
2026-07-06T18:02:43.791Z [LOG] Request: GET /rooms | Query: {} | Body: undefined | Status: 200 | Duration: 86ms []
2026-07-06T18:08:27.813Z [LOG] Request: GET /rooms/3bd8486d-b229-4387-9e08-eed179097f51 | Query: {} | Body: undefined | Status: 200 | Duration: 77ms []
2026-07-06T18:08:32.586Z [LOG] Request: GET /rooms | Query: {} | Body: undefined | Status: 200 | Duration: 15ms []
2026-07-06T18:08:39.315Z [LOG] Request: GET /rooms/1c8f0e19-e7cd-47cb-a22b-cf5f27ddf68a | Query: {} | Body: undefined | Status: 200 | Duration: 4ms []
2026-07-06T18:09:46.511Z [LOG] Request: POST /auth/login | Query: {} | Body: {"login":"weew@gmail.com","password":"Ada1234-"} | Status: 403 | Duration: 49ms []
2026-07-06T18:10:06.018Z [LOG] Request: POST /auth/signup | Query: {} | Body: {"login":"wewe@gmail.com","password":"1234qwer"} | Status: 201 | Duration: 114ms []
2026-07-06T18:10:06.091Z [LOG] Request: POST /auth/login | Query: {} | Body: {"login":"wewe@gmail.com","password":"1234qwer"} | Status: 200 | Duration: 69ms []
2026-07-06T18:10:06.121Z [LOG] Request: GET /rooms | Query: {} | Body: undefined | Status: 200 | Duration: 10ms []
2026-07-06T18:10:10.337Z [LOG] Request: GET /rooms/1c8f0e19-e7cd-47cb-a22b-cf5f27ddf68a | Query: {} | Body: undefined | Status: 200 | Duration: 13ms []
2026-07-06T18:10:33.870Z [LOG] Request: GET /rooms/1c8f0e19-e7cd-47cb-a22b-cf5f27ddf68a | Query: {} | Body: undefined | Status: 304 | Duration: 39ms []
2026-07-06T18:13:55.689Z [LOG] Request: GET /rooms | Query: {} | Body: undefined | Status: 200 | Duration: 47ms []
2026-07-06T18:14:05.761Z [LOG] Request: GET /rooms | Query: {} | Body: undefined | Status: 304 | Duration: 9ms []
2026-07-06T18:14:21.932Z [LOG] Request: GET /rooms/1c8f0e19-e7cd-47cb-a22b-cf5f27ddf68a | Query: {} | Body: undefined | Status: 200 | Duration: 19ms []
2026-07-06T18:15:20.961Z [LOG] Request: GET /rooms/1c8f0e19-e7cd-47cb-a22b-cf5f27ddf68a | Query: {} | Body: undefined | Status: 200 | Duration: 9ms []
2026-07-06T18:15:41.514Z [LOG] Request: GET /rooms/1c8f0e19-e7cd-47cb-a22b-cf5f27ddf68a | Query: {} | Body: undefined | Status: 304 | Duration: 7ms []
2026-07-06T18:15:46.856Z [LOG] Request: GET /rooms/1c8f0e19-e7cd-47cb-a22b-cf5f27ddf68a | Query: {} | Body: undefined | Status: 200 | Duration: 9ms []
2026-07-06T18:18:41.640Z [LOG] Request: GET /rooms | Query: {} | Body: undefined | Status: 200 | Duration: 14ms []
2026-07-06T18:18:58.987Z [LOG] Request: GET /rooms | Query: {} | Body: undefined | Status: 200 | Duration: 32ms []
2026-07-06T18:19:41.025Z [LOG] Request: GET /rooms | Query: {} | Body: undefined | Status: 304 | Duration: 11ms []
2026-07-06T18:24:53.033Z [LOG] Request: GET /rooms | Query: {} | Body: undefined | Status: 304 | Duration: 35ms []
2026-07-06T18:25:02.839Z [LOG] Request: GET /rooms/1c8f0e19-e7cd-47cb-a22b-cf5f27ddf68a | Query: {} | Body: undefined | Status: 304 | Duration: 6ms []
2026-07-06T18:25:12.121Z [LOG] Request: GET /rooms/1c8f0e19-e7cd-47cb-a22b-cf5f27ddf68a | Query: {} | Body: undefined | Status: 304 | Duration: 17ms []
2026-07-06T18:25:42.139Z [LOG] Request: GET /rooms/1c8f0e19-e7cd-47cb-a22b-cf5f27ddf68a | Query: {} | Body: undefined | Status: 200 | Duration: 59ms []
2026-07-06T18:25:48.887Z [LOG] Request: GET /rooms/1c8f0e19-e7cd-47cb-a22b-cf5f27ddf68a | Query: {} | Body: undefined | Status: 304 | Duration: 15ms []
2026-07-06T18:26:25.809Z [LOG] Request: POST /auth/login | Query: {} | Body: {"login":"test@gmail.com","password":"1234qwer"} | Status: 200 | Duration: 93ms []
2026-07-06T18:26:25.827Z [LOG] Request: GET /rooms | Query: {} | Body: undefined | Status: 200 | Duration: 7ms []
2026-07-06T18:26:30.458Z [LOG] Request: GET /rooms/1c8f0e19-e7cd-47cb-a22b-cf5f27ddf68a | Query: {} | Body: undefined | Status: 200 | Duration: 6ms []
2026-07-06T18:26:33.000Z [LOG] Request: GET /rooms/1c8f0e19-e7cd-47cb-a22b-cf5f27ddf68a | Query: {} | Body: undefined | Status: 304 | Duration: 6ms []
2026-07-06T18:36:00.711Z [LOG] Request: GET /rooms/1c8f0e19-e7cd-47cb-a22b-cf5f27ddf68a | Query: {} | Body: undefined | Status: 200 | Duration: 46ms []
